user_id,course_title,rating,persona
0,Meta iOS Developer,4,Beginner Web Dev
0,"Introduction to Web Development with HTML, CSS, JavaScript",3,Beginner Web Dev
0,Version Control,3,Beginner Web Dev
0,Drug Development Product Management,5,Beginner Web Dev
0,Introduction to Web Development,5,Beginner Web Dev
0,Java FullStack Developer,5,Beginner Web Dev
0,用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),3,Beginner Web Dev
0,Cybersécurité Google,4,Beginner Web Dev
0,Miracles of Human Language: An Introduction to Linguistics,2,Beginner Web Dev
1,Introductory C Programming,5,Beginner Web Dev
1,JavaScript for Beginners,5,Beginner Web Dev
1,CompTIA a+_ cyber,2,Beginner Web Dev
1,Java Programming and Software Engineering Fundamentals,5,Beginner Web Dev
1,Web Design for Everybody: Basics of Web Development & Coding,5,Beginner Web Dev
1,IBM Front-End Developer,5,Beginner Web Dev
1,Financial Planning for Young Adults,5,Beginner Web Dev
1,Google Cloud Digital Leader Training,4,Beginner Web Dev
1,Calculus for Machine Learning and Data Science,2,Beginner Web Dev
2,Programming with JavaScript,4,Beginner Web Dev
2,Visual Elements of User Interface Design,5,Beginner Web Dev
2,Meta iOS Developer,5,Beginner Web Dev
2,HTML and CSS in depth,5,Beginner Web Dev
2,"Introduction to Web Development with HTML, CSS, JavaScript",5,Beginner Web Dev
2,Coaching Skills for Managers,5,Beginner Web Dev
2,Meta Front-End Developer,5,Beginner Web Dev
2,Prompt Engineering for ChatGPT,4,Beginner Web Dev
2,Corporate & Commercial Law I: Contracts & Employment Law,3,Beginner Web Dev
2,Wine Tasting: Sensory Techniques for Wine Analysis,5,Beginner Web Dev
3,Programming with JavaScript,5,Beginner Web Dev
3,Digital Health,5,Beginner Web Dev
3,Gamification,2,Beginner Web Dev
3,Visual Elements of User Interface Design,3,Beginner Web Dev
3,"HTML, CSS, and Javascript for Web Developers",5,Beginner Web Dev
3,HTML and CSS in depth,5,Beginner Web Dev
3,Cloud Application Development Foundations,3,Beginner Web Dev
3,Supply Chain Management,1,Beginner Web Dev
3,Science of Exercise,2,Beginner Web Dev
3,"Product Ideation, Design, and Management",4,Beginner Web Dev
4,Visual Elements of User Interface Design,5,Beginner Web Dev
4,Meta AR Developer,5,Beginner Web Dev
4,Key Technologies for Business,3,Beginner Web Dev
4,HTML and CSS in depth,4,Beginner Web Dev
4,Gamification,4,Beginner Web Dev
4,Introduction to Web Development,4,Beginner Web Dev
4,Machine Learning Foundations for Product Managers,4,Beginner Web Dev
